Type,Object,Description
domain,nevada.mandros.us,C&C Server Domains
domain,cpanel.kreativelife.net,C&C Server Domains
domain,exclusive.nobogoods.com,C&C Server Domains
domain,whcms.greendreamcannabis.com,C&C Server Domains
domain,windows.envisionfonddulac.net,C&C Server Domains
domain,round.micha.ai,C&C Server Domains
domain,mail.aestheticfina.com,C&C Server Domains
domain,cluster.buydoorlitesandlouvers.com,C&C Server Domains
domain,software.adx-crm.com,C&C Server Domains
domain,sponsor.sewacanada.org,C&C Server Domains
domain,certificate.hypnotherapy-training.co.nz,C&C Server Domains
domain,estate.envisionfonddulac.org,C&C Server Domains
domain,seminary.envisionfonddulac.com,C&C Server Domains
domain,exchange.tuckx.com,C&C Server Domains
domain,dashboard.nzlifecoaching.com,C&C Server Domains
domain,programs.edlester.com,C&C Server Domains
domain,academy.entrepreneurwealthhub.com,C&C Server Domains
domain,portal.miaariacademy.com,C&C Server Domains
domain,preview.jpainting.ca,C&C Server Domains
domain,hub.unlimitedcashflowevent.com,C&C Server Domains
domain,ceo.cowholesaling.com,C&C Server Domains
domain,support.myfirstdealplaybook.com,C&C Server Domains
domain,newsite.iapmd.org,C&C Server Domains
domain,cpanel.buyjlindustriesonline.com,C&C Server Domains
domain,btctrading.crestlinesolutions.work,C&C Server Domains
domain,webmail.ebuildingsource.com,C&C Server Domains
domain,subscribe.bigeznola.com,C&C Server Domains
domain,gemini.1stpagegold.com,C&C Server Domains
domain,customer.aaddigitalstrategies.com,C&C Server Domains
domain,regular.ptbaconsulting.com,C&C Server Domains
domain,crm.bestintownpro.com,C&C Server Domains
domain,trial.buyintercomsonline.com,C&C Server Domains
domain,order.buyanemostatonline.com,C&C Server Domains
domain,static.buyweatherstriponline.com,C&C Server Domains
domain,zone.ebuilderssource.com,C&C Server Domains
domain,slot.buyaiphoneonline.com,C&C Server Domains
domain,rednosehorse.com  ,Keitaro TDS Domains used for SocGholish Delivery
domain,apiexplorerzone.com  ,Keitaro TDS Domains used for SocGholish Delivery
domain,smthwentwrong.com  ,Keitaro TDS Domains used for SocGholish Delivery
domain,newgoodfoodmarket.com  ,Keitaro TDS Domains used for SocGholish Delivery
domain,foundedbrounded.org  ,Keitaro TDS Domains used for SocGholish Delivery
domain,packedbrick.com  ,Keitaro TDS Domains used for SocGholish Delivery
domain,newgreenvibes.com  ,Keitaro TDS Domains used for SocGholish Delivery
domain,rapiddevapi.com  ,Keitaro TDS Domains used for SocGholish Delivery
domain,digdonger.org  ,Keitaro TDS Domains used for SocGholish Delivery
domain,blackshelter.org  ,Keitaro TDS Domains used for SocGholish Delivery
domain,blacksaltys.com  ,Keitaro TDS Domains used for SocGholish Delivery
domain,brickedpack.com  ,Keitaro TDS Domains used for SocGholish Delivery
domain,blessedwirrow.org,Keitaro TDS Domains used for SocGholish Delivery
ip,38.180.81.153,Ransomhub Python Backdoor Infrastructure
ip,108.181.115.171,Ransomhub Python Backdoor Infrastructure
ip,38.180.195.187,Ransomhub Python Backdoor Infrastructure
ip,185.174.101.240,Ransomhub Python Backdoor Infrastructure
ip,194.36.209.227,Ransomhub Python Backdoor Infrastructure
ip,92.118.112.143,Ransomhub Python Backdoor Infrastructure
ip,185.174.101.69,Ransomhub Python Backdoor Infrastructure
ip,92.118.112.208,Ransomhub Python Backdoor Infrastructure
ip,108.181.182.143,Ransomhub Python Backdoor Infrastructure
ip,173.44.141.226,Ransomhub Python Backdoor Infrastructure
ip,162.252.173.12,Ransomhub Python Backdoor Infrastructure
ip,23.227.193.172,Ransomhub Python Backdoor Infrastructure
ip,185.33.86.15,Ransomhub Python Backdoor Infrastructure
ip,45.66.248.150,Ransomhub Python Backdoor Infrastructure
ip,5.8.63.178,Ransomhub Python Backdoor Infrastructure
ip,88.119.175.70,Ransomhub Python Backdoor Infrastructure
ip,185.219.220.175,Ransomhub Python Backdoor Infrastructure
ip,45.82.85.50,Ransomhub Python Backdoor Infrastructure
ip,104.238.61.144,Ransomhub Python Backdoor Infrastructure
ip,193.203.49.90,Ransomhub Python Backdoor Infrastructure
ip,38.146.28.93,Ransomhub Python Backdoor Infrastructure
ip,88.119.175.65,Ransomhub Python Backdoor Infrastructure
ip,37.1.212.18,Ransomhub Python Backdoor Infrastructure
ip,207.174.31.215,C&C Server IP Addresses
ip,185.72.8.129,C&C Server IP Addresses
ip,38.180.137.245,C&C Server IP Addresses
ip,38.180.137.141,C&C Server IP Addresses
ip,45.76.228.18,C&C Server IP Addresses
ip,140.82.4.20,C&C Server IP Addresses
ip,149.28.125.75,C&C Server IP Addresses
ip,172.96.15.104,C&C Server IP Addresses
ip,193.124.24.117,C&C Server IP Addresses
ip,207.90.236.231,C&C Server IP Addresses
ip,155.138.226.179,C&C Server IP Addresses
ip,172.96.15.103,C&C Server IP Addresses
ip,85.209.85.206,C&C Server IP Addresses
ip,207.174.31.92,C&C Server IP Addresses
ip,166.88.182.126,C&C Server IP Addresses
ip,23.146.184.221,C&C Server IP Addresses
ip,194.135.104.251,C&C Server IP Addresses
ip,23.133.88.96,C&C Server IP Addresses
ip,166.1.173.65,C&C Server IP Addresses
ip,38.180.244.209,C&C Server IP Addresses
ip,91.149.239.242,C&C Server IP Addresses
ip,155.138.211.27,C&C Server IP Addresses
ip,128.254.146.183,C&C Server IP Addresses
ip,166.88.182.65,C&C Server IP Addresses
ip,85.209.85.199,C&C Server IP Addresses
ip,82.153.134.38,C&C Server IP Addresses
ip,194.135.104.175,C&C Server IP Addresses
